@relation USER50_CURRENT_ATTRIBUTES_ONLY_Q57_28.02.2015.arff-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C33-L3-3-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last

@attribute klind_en {administrator,other,parent,pupil,student,'teacher ucha.se',teacher}
@attribute has_personal_info_1_q2b_111 {0,1}
@attribute months_between_first_and_last_accessed_resource numeric
@attribute grade_calculated_from_user_data {0,1,2,3,4,5,6,7,8,9,10,11,12}
@attribute most_watched_subject_name_in_english {'',Biology,Bulgarian,Chemistry,'English Beginners','English Intermediate',Environment,Fun,Geography,German,History,'Home land',Literature,Math,Music,'Person and nature','Person and society',Physics,Programming,Spanish}
@attribute most_watched_subject_id {0,26,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,45,46,47,48}
@attribute one_of_the_fav_subjects_entered_by_the_user_in_english {'',Biology,Bulgarian,Chemistry,'English Beginners','English Intermediate',Environment,French,Fun,Geography,German,History,'Home land',Literature,Math,Music,'Person and nature','Person and society',Physics,Programming,Spanish}
@attribute number_of_distinct_accessed_subjects numeric
@attribute total_time_watched_videos_in_seconds numeric
@attribute total_number_of_exercises_attempts numeric
@attribute number_of_distinct_exercises numeric
@attribute number_of_all_accessed_resources numeric
@attribute percent_videos_completed numeric
@attribute percent_exercises_completed_with_75_points_or_more numeric
@attribute total_number_of_user_comments numeric
@attribute type_id_of_first_subscription {1,2,3,4,5,6,7,9,10,11}
@attribute type_name_of_first_subscription {'','1 month','12 months','15 days','3 days','3 months','6 months'}
@attribute percent_played____10s__videos_also_exercised_on numeric
@attribute percent_exercises_retaken numeric
@attribute percent_of_distinct_exercises_which_were_retaken numeric
@attribute number_of_distinct_accessed_grades numeric
@attribute percent_video_watched_more_than_once numeric
@attribute percent_distinct_video_watched_more_than_once numeric
@attribute percent_distinct_played____10s__videos_also_commented_om numeric
@attribute young_leader_badge {0,1}
@attribute motivation_level {0,1,2,3,4,5,6}
@attribute leadership_level {0,1,2,3,4,5,6}
@attribute leadership_1___number_of_user_comments_with_rating___3 numeric
@attribute charisma {0,1,2,3,4,6}
@attribute number_invited_friends numeric
@attribute influence {0,1,2,3,4,5,6}
@attribute class {no,yes}

@data
pupil,0,1,7,History,34,'',1,616,0,0,2,100,0,0,2,'1 month',0,0,0,1,100,100,0,0,0,0,0,0,0,0,no
pupil,0,12,6,Math,28,'',2,1217,0,0,5,20,0,0,3,'3 months',0,0,0,2,0,0,0,1,1,0,0,0,0,0,no
pupil,0,1,5,Geography,37,'',2,943,0,0,2,100,0,1,2,'1 month',0,0,0,2,0,0,50,0,0,0,0,0,0,0,no
pupil,1,8,2,'English Beginners',40,'English Intermediate',6,7150,0,0,24,63,0,0,3,'3 months',0,0,0,6,25,14,0,1,1,0,0,0,0,1,no
pupil,0,1,0,Physics,31,'',1,1122,0,0,3,33,0,0,3,'3 months',0,0,0,2,0,0,0,1,2,0,0,0,0,0,no
pupil,0,0,9,'',0,'',0,0,0,0,0,0,0,0,3,'3 months',0,0,0,0,0,0,0,1,0,0,0,0,0,0,no
pupil,1,2,0,Physics,31,History,3,4064,0,0,9,44,0,0,3,'3 months',0,0,0,2,0,0,0,1,0,0,0,0,0,1,no
pupil,0,0,0,Chemistry,26,'',1,1738,0,0,4,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
student,0,3,7,'English Beginners',40,'',8,26693,0,0,81,67,0,0,3,'3 months',0,0,0,6,46,28,0,1,1,0,0,0,0,0,no
pupil,0,3,7,Biology,32,'',10,74635,0,0,175,86,0,39,1,'3 days',0,0,0,6,72,47,21,0,2,0,0,0,0,0,yes
pupil,0,1,9,Chemistry,26,'',2,1895,0,0,5,20,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,2,'English Beginners',40,'',2,2265,0,0,8,0,0,0,2,'1 month',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
student,0,0,0,Chemistry,35,'',1,209,0,0,1,0,0,0,2,'1 month',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,3,3,Bulgarian,36,'',2,3780,0,0,13,31,0,0,1,'3 days',0,0,0,2,62,38,0,0,1,0,0,0,0,1,no
pupil,0,0,5,Bulgarian,36,'',1,585,0,0,2,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,8,6,History,34,'',4,13020,0,0,35,51,0,0,1,'3 days',0,0,0,3,37,21,0,1,1,0,0,0,0,0,no
pupil,0,4,9,History,34,'',9,34840,0,0,74,55,0,8,3,'3 months',0,0,0,4,41,17,3,1,1,0,0,0,0,1,no
pupil,1,0,8,Math,28,Physics,1,446,0,0,1,100,0,0,3,'3 months',0,0,0,1,0,0,0,1,0,0,0,0,0,0,no
pupil,0,1,0,'English Intermediate',30,'',2,2099,0,0,5,20,0,0,1,'3 days',0,0,0,2,80,67,0,0,0,0,0,0,0,0,no
pupil,0,5,0,Chemistry,26,'',7,147597,0,0,297,55,0,0,3,'3 months',0,0,0,7,48,27,0,1,2,0,0,0,0,0,no
parent,0,13,7,Math,28,'',9,39158,0,0,142,23,0,0,3,'3 months',0,0,0,6,39,23,0,1,2,0,0,0,0,0,yes
pupil,1,12,6,Math,28,Literature,9,41403,1,1,96,65,0,0,3,'3 months',1,0,0,6,19,10,0,1,1,0,0,0,0,0,yes
pupil,0,1,9,'English Intermediate',30,'',2,1692,0,0,5,60,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,9,7,Math,28,'',10,20596,0,0,50,58,0,0,9,'15 days',0,0,0,3,16,9,0,0,2,0,0,0,0,1,no
pupil,0,9,8,'English Intermediate',30,'',5,10986,0,0,20,45,0,0,3,'3 months',0,0,0,4,20,11,0,1,1,0,0,0,0,0,no
pupil,0,11,0,History,34,'',7,30185,3,3,65,48,33,0,2,'1 month',6,0,0,4,37,20,0,1,2,0,0,0,0,0,yes
pupil,0,1,8,History,34,'',3,5636,0,0,13,31,0,0,1,'3 days',0,0,0,2,46,30,0,0,0,0,0,0,0,0,no
pupil,0,3,5,Bulgarian,36,'',3,4283,0,0,13,38,0,0,3,'3 months',0,0,0,1,46,30,0,1,1,0,0,0,0,0,no
pupil,0,1,0,Chemistry,26,'',2,2470,0,0,6,83,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,2,8,'',0,'',0,0,0,0,0,0,0,0,2,'1 month',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,0,3,6,History,34,'',4,5823,0,0,20,50,0,0,3,'3 months',0,0,0,1,15,6,0,1,1,0,0,0,0,0,no
pupil,0,1,0,Bulgarian,36,'',5,17263,0,0,54,31,0,0,3,'3 months',0,0,0,5,11,6,0,1,0,0,0,0,0,0,no
pupil,0,2,9,Physics,31,'',2,2535,0,0,7,14,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,1,8,German,41,'Person and nature',4,4002,0,0,10,70,0,0,2,'1 month',0,0,0,4,0,0,0,0,0,0,0,1,1,0,no
pupil,0,1,9,Math,28,'',2,1068,0,0,3,67,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
student,0,1,0,Biology,32,'',1,700,0,0,2,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,7,Chemistry,26,'',4,2649,0,0,8,50,0,0,1,'3 days',0,0,0,1,25,14,0,0,0,0,0,0,0,0,no
pupil,0,1,7,Chemistry,26,'',1,1095,0,0,2,0,0,0,2,'1 month',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,4,9,Physics,31,'',4,16770,0,0,38,39,0,0,3,'3 months',0,0,0,1,32,16,0,1,1,0,0,0,0,0,no
pupil,0,1,0,Geography,37,'',1,827,0,0,4,25,0,0,9,'15 days',0,0,0,1,75,50,0,0,0,0,0,0,0,0,no
student,0,1,5,History,34,'',1,1264,0,0,5,60,0,0,1,'3 days',0,0,0,1,80,67,0,0,0,0,0,0,0,0,no
parent,0,1,0,'English Intermediate',30,'',1,4509,0,0,8,63,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
student,0,1,3,'Person and nature',39,'',1,720,0,0,3,33,0,0,1,'3 days',0,0,0,1,67,50,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Biology,32,'',5,6604,0,0,25,36,0,0,2,'1 month',0,0,0,2,24,10,0,0,0,0,0,0,0,0,no
pupil,0,1,8,History,34,'',4,23824,0,0,113,3,0,1,9,'15 days',0,0,0,2,2,1,0,0,1,0,0,0,0,0,no
pupil,1,0,7,Physics,31,Programming,1,485,0,0,1,100,0,1,1,'3 days',0,0,0,1,0,0,100,0,0,0,1,0,0,0,no
parent,0,11,1,History,34,'',10,37398,2,2,123,39,100,0,1,'3 days',2,0,0,4,42,25,0,1,2,0,0,0,0,0,yes
pupil,1,7,5,History,34,Physics,4,6594,0,0,19,37,0,0,3,'3 months',0,0,0,2,58,38,0,1,2,0,0,0,0,1,no
pupil,0,1,5,History,34,'',3,2028,0,0,7,86,0,0,1,'3 days',0,0,0,1,29,17,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Chemistry,26,'',1,2903,0,0,6,83,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,9,6,'Person and nature',39,'Person and nature',3,2319,0,0,7,29,0,5,1,'3 days',0,0,0,2,0,0,14,0,1,0,0,1,2,2,no
pupil,0,0,8,Chemistry,26,'',1,1099,0,0,3,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,8,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,1,3,6,'Person and nature',39,'Person and nature',3,4130,0,0,9,89,0,1,3,'3 months',0,0,0,1,0,0,11,1,0,0,0,0,0,2,no
pupil,0,0,7,Physics,31,'',1,876,0,0,3,33,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,8,Chemistry,26,'',1,1027,0,0,4,0,0,0,1,'3 days',0,0,0,1,50,33,0,0,0,0,0,0,0,0,no
pupil,1,12,7,History,34,Math,8,29507,18,8,119,47,39,0,3,'3 months',5,89,75,3,11,5,0,1,1,0,0,0,0,0,no
pupil,0,1,9,Biology,32,'',2,3468,0,0,7,43,0,0,3,'3 months',0,0,0,2,0,0,0,1,0,0,0,0,0,0,no
pupil,0,1,8,History,34,'',1,711,0,0,2,0,0,0,2,'1 month',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,8,Biology,32,'',1,279,0,0,1,100,0,0,3,'3 months',0,0,0,1,0,0,0,1,0,0,0,0,0,0,no
student,0,0,0,Chemistry,35,'',1,615,0,0,2,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,4,'',0,'',0,0,0,0,0,0,0,0,2,'1 month',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,0,12,6,History,34,'',3,7969,3,2,31,14,0,1,1,'3 days',8,67,50,2,29,17,4,1,1,0,0,0,0,0,no
pupil,0,0,8,History,34,'',1,179,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
parent,0,3,3,'English Beginners',40,'',1,2493,0,0,5,100,0,0,3,'3 months',0,0,0,1,0,0,0,1,0,0,0,0,0,0,no
pupil,0,1,6,Geography,37,'',2,3241,0,0,10,30,0,0,2,'1 month',0,0,0,1,20,11,0,0,0,0,0,0,0,0,no
pupil,0,3,9,Physics,31,'',6,13189,0,0,29,34,0,0,3,'3 months',0,0,0,3,28,16,0,1,0,0,0,0,0,0,no
pupil,0,2,7,Math,28,'',3,5181,0,0,13,69,0,0,3,'3 months',0,0,0,1,15,8,0,1,0,0,0,0,0,0,no
pupil,0,0,0,Math,28,'',1,2334,0,0,4,50,0,1,1,'3 days',0,0,0,1,50,33,33,0,0,0,0,0,0,0,no
pupil,0,1,7,Math,28,'',1,2692,0,0,8,38,0,0,1,'3 days',0,0,0,1,50,33,0,0,0,0,0,1,1,0,no
pupil,1,12,0,History,34,History,5,15292,0,0,35,43,0,0,1,'3 days',0,0,0,3,34,21,0,0,1,0,0,0,0,1,no
parent,0,12,6,Geography,37,'',10,18673,0,0,50,52,0,0,3,'3 months',0,0,0,5,30,17,0,1,1,0,0,0,0,0,yes
pupil,0,12,0,Chemistry,26,'',8,55318,3,3,115,63,67,0,2,'1 month',3,0,0,4,31,17,0,1,2,0,0,0,0,0,yes
pupil,0,1,7,Chemistry,26,'',3,7836,0,0,20,55,0,0,2,'1 month',0,0,0,1,10,5,0,0,0,0,0,0,0,0,no
pupil,0,7,9,Math,28,'',3,1341,0,0,7,0,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,9,Biology,32,'',3,2803,0,0,5,60,0,0,1,'3 days',0,0,0,1,0,0,0,0,1,0,0,0,0,0,no
pupil,0,1,7,Biology,32,'',4,2813,0,0,7,57,0,0,2,'1 month',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,0,History,34,'',6,7955,0,0,22,64,0,0,1,'3 days',0,0,0,2,9,5,0,0,1,0,0,0,0,0,no
pupil,0,1,7,Physics,31,'',4,2462,0,0,11,27,0,0,2,'1 month',0,0,0,1,45,25,0,0,0,0,0,0,0,0,no
pupil,0,4,0,Physics,31,'',1,8558,0,0,20,45,0,0,1,'3 days',0,0,0,1,30,18,0,0,1,0,0,0,0,0,no
pupil,0,4,0,Chemistry,26,'',1,7075,0,0,18,0,0,0,1,'3 days',0,0,0,1,89,75,0,0,1,0,0,0,0,0,no
pupil,1,3,6,Math,28,'Person and nature',2,3233,0,0,12,25,0,0,2,'1 month',0,0,0,2,33,20,0,0,1,0,0,0,0,0,no
other,0,12,5,Math,28,'',4,27283,0,0,55,71,0,1,3,'3 months',0,0,0,6,29,15,0,1,1,0,0,0,0,0,no
parent,0,8,6,History,34,'',1,3615,0,0,11,82,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,1,1,0,no
pupil,0,3,6,Geography,37,'',2,1025,0,0,3,67,0,2,3,'3 months',0,0,0,1,0,0,66,1,0,0,0,0,0,0,no
pupil,0,2,0,'English Intermediate',30,'',2,7762,0,0,13,77,0,0,1,'3 days',0,0,0,2,15,8,0,0,0,0,0,0,0,0,no
pupil,0,4,0,Geography,37,'',2,38778,0,0,92,73,0,0,2,'1 month',0,0,0,5,46,28,0,0,1,0,0,0,0,0,no
pupil,0,4,0,Physics,31,'',2,2205,0,0,7,29,0,0,1,'3 days',0,0,0,1,29,17,0,0,1,0,0,0,0,0,no
pupil,0,1,7,Math,28,'',2,1817,0,0,6,33,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Physics,31,'',1,1509,0,0,4,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Physics,31,'',3,5417,0,0,11,64,0,0,2,'1 month',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,7,Biology,32,'',3,3292,0,0,12,50,0,0,2,'1 month',0,0,0,1,75,50,0,0,0,0,0,0,0,0,no
other,0,8,9,Chemistry,26,'',1,1001,0,0,3,33,0,0,1,'3 days',0,0,0,1,100,100,0,0,0,0,0,0,0,0,no
pupil,0,2,7,Math,28,'',1,1874,0,0,5,20,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
other,0,0,9,'Person and nature',39,'',3,803,0,0,3,0,0,0,1,'3 days',0,0,0,3,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,9,Biology,32,'',1,2308,0,0,4,25,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,8,1,Biology,32,'',2,11353,0,0,23,35,0,0,1,'3 days',0,0,0,2,9,5,0,0,0,0,0,0,0,0,no
teacher,0,1,4,'Person and nature',39,'',1,412,0,0,2,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,3,0,Chemistry,26,'',1,1302,0,0,2,50,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
teacher,1,12,7,Geography,37,'',8,128389,5,4,371,56,80,2,3,'3 months',1,40,25,9,54,34,0,1,2,0,0,0,0,0,no
pupil,1,12,2,Math,28,Math,11,42483,7,4,161,25,0,4,3,'3 months',3,86,75,8,38,20,3,1,1,0,1,0,0,3,no
pupil,0,3,0,'English Beginners',40,'',2,49763,0,0,89,94,0,0,2,'1 month',0,0,0,4,78,57,0,0,0,0,0,0,0,0,no
pupil,0,0,1,Physics,31,'',1,3907,0,0,7,14,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,9,Physics,31,'',1,2901,0,0,6,100,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
student,0,1,2,'English Beginners',40,'',2,5765,0,0,13,92,0,1,2,'1 month',0,0,0,2,31,18,9,0,0,0,0,0,0,0,no
pupil,1,12,7,History,34,Chemistry,10,58320,12,12,186,60,83,1,3,'3 months',6,0,0,4,56,36,0,1,1,0,0,0,0,4,yes
pupil,0,11,0,Fun,29,'',4,16231,0,0,33,88,0,0,9,'15 days',0,0,0,2,6,3,0,0,2,0,0,0,0,0,yes
pupil,0,0,5,Geography,37,'',2,1197,0,0,5,40,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
parent,0,3,0,'English Beginners',40,'',8,7868,0,0,25,56,0,0,3,'3 months',0,0,0,6,20,9,0,1,0,0,0,0,0,0,no
pupil,0,0,9,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
parent,0,11,5,'English Beginners',40,'',5,5206,3,3,16,38,33,0,3,'3 months',15,0,0,6,0,0,0,1,1,0,0,0,0,0,yes
pupil,0,1,6,History,34,'',2,1857,0,0,7,43,0,0,2,'1 month',0,0,0,1,29,17,0,0,0,0,0,0,0,0,no
pupil,0,9,7,Biology,32,'',8,12980,0,0,45,11,0,0,2,'1 month',0,0,0,8,40,21,0,0,1,0,0,0,0,2,no
parent,0,11,6,Geography,37,'',6,11502,5,5,39,38,60,0,2,'1 month',9,0,0,5,6,3,0,1,1,0,0,0,0,0,no
student,0,1,9,Chemistry,26,'',1,23114,0,0,44,43,0,0,1,'3 days',0,0,0,4,9,5,0,0,0,0,0,0,0,0,no
pupil,0,1,7,History,34,'',1,11052,0,0,30,50,0,0,2,'1 month',0,0,0,2,63,39,0,0,0,0,0,0,0,0,no
pupil,0,12,6,History,34,'',6,15001,2,2,42,73,50,1,3,'3 months',0,0,0,4,30,15,0,1,2,0,0,0,0,0,yes
parent,0,0,8,Math,28,'',1,228,0,0,1,0,0,0,3,'3 months',0,0,0,1,0,0,0,1,0,0,0,0,0,0,no
parent,0,4,1,German,41,'',1,11534,0,0,54,2,0,0,1,'3 days',0,0,0,2,54,36,0,0,0,0,0,0,0,0,no
parent,0,2,6,Geography,37,'',4,5140,0,0,16,44,0,0,2,'1 month',0,0,0,3,13,7,0,0,0,0,0,0,0,0,no
pupil,0,1,8,Biology,32,'',1,1810,0,0,3,67,0,0,3,'3 months',0,0,0,1,0,0,0,1,1,0,0,0,0,0,no
parent,0,12,6,History,34,'',5,10559,6,6,37,52,83,5,2,'1 month',19,0,0,2,26,15,14,1,1,0,0,0,0,0,no
pupil,0,1,0,Geography,37,'',1,5831,0,0,21,38,0,0,1,'3 days',0,0,0,1,62,43,0,0,0,0,0,0,0,0,no
parent,0,12,1,German,41,'',2,6077,0,0,20,35,0,0,2,'1 month',0,0,0,2,40,20,0,0,0,0,0,0,0,0,no
teacher,0,3,9,Physics,31,'',8,16153,0,0,42,67,0,0,3,'3 months',0,0,0,6,10,5,0,1,0,0,0,0,0,0,no
pupil,0,12,0,Bulgarian,36,'',7,22046,0,0,54,57,0,2,3,'3 months',0,0,0,6,28,9,2,1,1,0,0,0,0,0,no
pupil,0,0,5,History,34,'',1,459,0,0,2,0,0,0,1,'3 days',0,0,0,1,100,100,0,0,0,0,0,0,0,0,no
pupil,0,4,0,Chemistry,26,'',5,38824,0,0,104,33,0,0,3,'3 months',0,0,0,2,57,31,0,1,1,0,0,0,0,0,no
parent,0,11,3,'English Beginners',40,'',6,5828,1,1,19,50,0,0,1,'3 days',6,0,0,6,11,6,0,1,1,0,0,0,0,0,no
pupil,0,1,4,'',0,'',0,0,0,0,0,0,0,0,3,'3 months',0,0,0,0,0,0,0,1,0,0,0,0,0,0,no
pupil,0,0,0,History,34,'',1,1153,0,0,4,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
student,0,2,9,Math,28,'',2,11150,0,0,34,79,0,0,3,'3 months',0,0,0,2,62,38,0,1,0,0,0,0,0,0,no
pupil,0,10,8,Math,28,'',6,11231,0,0,32,22,0,1,3,'3 months',0,0,0,3,31,19,3,1,1,0,0,0,0,0,no
pupil,0,3,7,History,34,'',2,15207,0,0,58,83,0,0,3,'3 months',0,0,0,1,17,6,0,1,0,0,0,0,0,0,no
pupil,0,1,0,German,41,'',4,1331,0,0,4,25,0,0,1,'3 days',0,0,0,3,0,0,0,0,0,0,0,0,0,0,no
other,0,2,0,'English Beginners',40,'',2,26718,0,0,78,42,0,0,2,'1 month',0,0,0,4,64,44,0,0,0,0,0,0,0,0,no
pupil,0,1,0,Chemistry,35,'',1,822,0,0,5,20,0,0,5,'',0,0,0,1,40,25,0,0,0,0,0,0,0,0,no
pupil,0,12,7,Physics,31,'',5,27745,3,3,58,62,33,0,2,'1 month',4,0,0,3,7,4,0,1,1,0,0,0,0,0,no
pupil,0,7,8,'English Beginners',40,'',2,4700,0,0,13,46,0,0,3,'3 months',0,0,0,3,46,30,0,1,1,0,0,0,0,0,no
pupil,0,3,7,Math,28,'',1,12100,0,0,26,85,0,0,3,'3 months',0,0,0,1,8,4,0,1,0,0,0,0,0,0,no
pupil,0,1,8,Geography,37,'',1,1838,0,0,5,60,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,6,History,34,'',2,1077,0,0,4,50,0,0,2,'1 month',0,0,0,2,50,33,0,0,0,0,0,0,0,0,no
pupil,0,12,0,'Person and nature',39,'',5,15936,5,4,56,49,40,1,3,'3 months',7,40,25,2,31,17,0,1,1,0,0,0,0,0,no
pupil,1,9,9,Geography,37,'Person and nature',3,6041,0,0,18,56,0,2,3,'3 months',0,0,0,4,11,6,5,1,1,0,0,0,0,0,no
pupil,0,1,7,Chemistry,26,'',2,3967,0,0,8,88,0,1,1,'3 days',0,0,0,1,0,0,12,0,0,0,0,0,0,0,no
pupil,0,0,5,Geography,37,'',1,3545,0,0,9,67,0,0,3,'3 months',0,0,0,1,0,0,0,1,1,0,0,0,0,0,no
pupil,0,10,0,Chemistry,35,'',1,341,0,0,3,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,2,7,Geography,37,Math,6,5203,0,0,13,77,0,0,3,'3 months',0,0,0,3,0,0,0,1,0,0,0,0,0,0,no
parent,0,10,5,'Person and nature',39,'',3,2569,0,0,6,50,0,0,3,'3 months',0,0,0,3,0,0,0,1,1,0,0,0,0,0,no
pupil,0,1,0,Math,28,'',5,3514,0,0,15,40,0,1,1,'3 days',0,0,0,2,13,7,0,0,0,0,0,0,0,0,no
pupil,0,4,0,Chemistry,26,'',2,16288,0,0,30,23,0,0,1,'3 days',0,0,0,2,37,21,0,0,1,0,0,0,0,0,no
student,0,0,9,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
parent,0,2,6,Geography,37,'',2,1959,0,0,4,100,0,0,3,'3 months',0,0,0,1,0,0,0,1,0,0,0,0,0,0,no
pupil,0,8,6,History,34,'',2,1931,0,0,7,57,0,0,1,'3 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
teacher,0,0,6,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,1,Biology,32,'',2,7713,0,0,22,45,0,0,9,'15 days',0,0,0,2,0,0,0,0,1,0,0,0,0,0,no
student,0,0,4,'Person and nature',39,'',1,305,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,7,History,34,'',5,1568,0,0,7,43,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,9,Physics,31,'',1,486,0,0,2,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
parent,0,1,4,'Person and nature',39,'',1,97,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,0,7,Math,28,'',1,1723,0,0,7,43,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,0,3,7,History,34,'',4,8477,0,0,26,77,0,0,3,'3 months',0,0,0,2,15,8,0,1,1,0,0,0,0,0,no
pupil,0,0,2,Math,28,'',2,1175,0,0,3,67,0,0,3,'3 months',0,0,0,2,0,0,0,1,0,0,0,0,0,0,no
pupil,0,0,8,Math,28,'',2,2707,0,0,5,60,0,0,1,'3 days',0,0,0,2,0,0,0,0,0,0,0,0,0,0,no
parent,0,7,4,'English Beginners',40,'',1,32903,0,0,78,90,0,1,3,'3 months',0,0,0,3,67,43,2,1,0,0,1,0,0,0,no
parent,1,9,7,'English Beginners',40,'',4,13474,0,0,39,77,0,2,2,'1 month',0,0,0,4,59,38,3,0,0,0,0,0,0,2,no
pupil,1,12,7,History,34,Chemistry,9,12878,6,5,44,66,50,15,3,'3 months',0,33,20,3,53,33,22,1,1,0,0,0,0,0,no
student,0,2,8,Biology,32,'',2,17117,0,0,42,93,0,0,3,'3 months',0,0,0,2,0,0,0,1,1,0,0,0,0,0,no
pupil,0,1,0,Math,28,'',1,128,0,0,1,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,2,0,History,34,History,3,14655,0,0,39,10,0,0,1,'3 days',0,0,0,2,5,3,0,1,0,0,0,0,0,0,no
pupil,1,3,0,Math,28,'Person and nature',6,9080,0,0,31,23,0,1,3,'3 months',0,0,0,2,19,11,0,1,0,0,1,0,0,1,no
parent,0,8,5,'Person and society',42,'',8,14383,0,0,45,22,0,0,1,'3 days',0,0,0,5,11,5,0,0,1,0,0,0,0,1,no
pupil,1,12,0,Geography,37,Bulgarian,2,4491,0,0,18,11,0,0,2,'1 month',0,0,0,1,72,55,0,1,1,0,0,0,0,0,yes
pupil,0,0,9,Physics,31,'',1,1598,0,0,5,0,0,0,1,'3 days',0,0,0,1,0,0,0,0,0,0,0,0,0,0,no
pupil,1,3,0,Math,28,Programming,1,1124,0,0,2,0,0,0,3,'3 months',0,0,0,1,0,0,0,1,1,0,0,0,0,0,no
pupil,0,0,0,'',0,'',0,0,0,0,0,0,0,0,1,'3 days',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
teacher,0,0,9,'',0,'',0,0,0,0,0,0,0,0,2,'1 month',0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
pupil,0,1,7,Math,28,'',3,7018,0,0,21,52,0,1,2,'1 month',0,0,0,1,10,5,5,0,1,0,0,0,0,0,no
